p_loss_%,algorithm,run_idx,tcr,rounds,cfr,time_ms
10,cbba,25,1.0,27,1.0,392.489
10,cbba,26,1.0,18,1.0,262.106
10,cbba,27,1.0,22,1.0,330.964
10,cbba,28,1.0,18,1.0,262.256
10,cbba,29,1.0,21,1.0,318.292
10,cbba,30,0.8,15,0.0,215.152
10,cbba,31,0.9,20,0.0,283.79
10,cbba,32,0.85,15,0.0,225.574
10,cbba,33,0.8,16,0.0,230.149
10,cbba,34,1.0,21,1.0,317.157
10,cbba,35,1.0,19,1.0,286.422
10,cbba,36,1.0,18,1.0,279.387
10,cbba,37,1.0,19,1.0,283.003
10,cbba,38,1.0,18,1.0,271.871
10,cbba,39,1.0,24,1.0,348.346
10,cbba,40,0.8,18,0.0,265.95
10,cbba,41,0.75,19,0.0,269.471
10,cbba,42,0.75,14,0.0,197.463
10,cbba,43,1.0,20,1.0,302.961
10,cbba,44,0.9,17,0.0,245.681
10,cbba,45,0.9,19,0.0,268.677
10,cbba,46,1.0,19,1.0,283.766
10,cbba,47,0.95,18,0.0,262.441
10,cbba,48,0.6,12,0.0,184.873
10,cbba,49,1.0,23,1.0,353.769
10,acbba,0,1.0,9,1.0,158.566
10,acbba,1,1.0,12,1.0,204.651
10,acbba,2,0.7,8,0.0,137.33
10,acbba,3,0.8,6,0.0,111.884
10,acbba,4,1.0,13,1.0,235.126
10,acbba,5,1.0,11,1.0,189.491
10,acbba,6,1.0,12,1.0,196.896
10,acbba,7,0.8,8,0.0,134.825
10,acbba,8,0.8,9,0.0,154.214
10,acbba,9,0.95,7,0.0,121.37
10,acbba,10,1.0,14,1.0,229.461
10,acbba,11,0.9,8,0.0,137.626
10,acbba,12,1.0,8,1.0,140.562
10,acbba,13,1.0,14,1.0,227.478
10,acbba,14,1.0,14,1.0,227.067
10,acbba,15,1.0,9,1.0,149.746
10,acbba,16,1.0,12,1.0,205.702
10,acbba,17,0.8,11,0.0,186.785
10,acbba,18,0.7,8,0.0,240.39
10,acbba,19,1.0,9,1.0,243.456
10,acbba,20,1.0,11,1.0,199.301
10,acbba,21,1.0,10,1.0,175.911
10,acbba,22,1.0,9,1.0,158.599
10,acbba,23,0.9,8,0.0,139.4
10,acbba,24,1.0,10,1.0,170.304
10,acbba,25,1.0,13,1.0,224.846
10,acbba,26,1.0,10,1.0,165.974
10,acbba,27,1.0,12,1.0,216.78
10,acbba,28,1.0,9,1.0,150.647
10,acbba,29,1.0,11,1.0,176.699
10,acbba,30,0.9,11,0.0,178.235
10,acbba,31,1.0,11,1.0,175.119
10,acbba,32,0.85,7,0.0,116.733
10,acbba,33,0.9,9,0.0,150.434
10,acbba,34,1.0,10,1.0,169.869
10,acbba,35,1.0,10,1.0,168.864
10,acbba,36,1.0,8,1.0,139.919
10,acbba,37,1.0,9,1.0,159.608
10,acbba,38,1.0,8,1.0,146.264
10,acbba,39,1.0,13,1.0,210.531
10,acbba,40,0.8,8,0.0,138.925
10,acbba,41,0.75,8,0.0,136.919
10,acbba,42,0.75,5,0.0,89.737
10,acbba,43,1.0,11,1.0,192.936
10,acbba,44,0.9,8,0.0,133.698
10,acbba,45,0.9,10,0.0,156.415
10,acbba,46,1.0,10,1.0,177.424
10,acbba,47,1.0,9,1.0,158.745
10,acbba,48,0.6,5,0.0,85.578
10,acbba,49,1.0,10,1.0,180.674
20,cbba,0,1.0,22,1.0,320.271
20,cbba,1,0.8,15,0.0,221.969
20,cbba,2,1.0,20,1.0,296.079
20,cbba,3,1.0,19,1.0,287.59
20,cbba,4,1.0,19,1.0,291.422
20,cbba,5,1.0,18,1.0,274.267
20,cbba,6,1.0,20,1.0,291.829
20,cbba,7,0.7,16,0.0,231.871
20,cbba,8,0.75,17,0.0,253.527
20,cbba,9,0.85,14,0.0,210.601
20,cbba,10,0.7,15,0.0,215.882
20,cbba,11,0.8,16,0.0,230.24
20,cbba,12,0.9,16,0.0,228.098
20,cbba,13,1.0,16,1.0,234.488
20,cbba,14,1.0,21,1.0,310.885
20,cbba,15,1.0,20,1.0,291.882
20,cbba,16,0.85,18,0.0,256.292
20,cbba,17,1.0,19,1.0,282.314
20,cbba,18,0.9,18,0.0,255.595
20,cbba,19,0.75,14,0.0,197.809
20,cbba,20,0.75,15,0.0,219.427
20,cbba,21,0.9,21,0.0,296.87
20,cbba,22,0.9,18,0.0,272.57
20,cbba,23,1.0,22,1.0,360.128
20,cbba,24,1.0,20,1.0,307.618
20,cbba,25,0.9,17,0.0,245.475
20,cbba,26,0.8,15,0.0,216.621
20,cbba,27,0.85,14,0.0,206.587
20,cbba,28,1.0,24,1.0,377.977
20,cbba,29,0.9,21,0.0,307.897
20,cbba,30,0.9,17,0.0,264.959
20,cbba,31,1.0,19,1.0,481.159
20,cbba,32,0.8,14,0.0,247.066
20,cbba,33,1.0,22,1.0,333.546
20,cbba,34,0.95,27,0.0,381.248
20,cbba,35,0.9,20,0.0,282.333
20,cbba,36,0.9,18,0.0,269.204
20,cbba,37,0.9,18,0.0,266.206
20,cbba,38,0.8,14,0.0,200.556
20,cbba,39,0.95,19,0.0,281.967
20,cbba,40,1.0,19,1.0,288.76
20,cbba,41,1.0,22,1.0,333.413
20,cbba,42,0.9,22,0.0,332.393
20,cbba,43,0.7,14,0.0,207.551
20,cbba,44,0.9,16,0.0,236.959
20,cbba,45,0.9,20,0.0,302.913
20,cbba,46,0.8,15,0.0,219.301
20,cbba,47,0.9,20,0.0,308.347
20,cbba,48,0.85,19,0.0,283.188
20,cbba,49,1.0,19,1.0,285.671
20,acbba,0,1.0,13,1.0,208.25
20,acbba,1,1.0,17,1.0,258.819
20,acbba,2,1.0,11,1.0,185.213
20,acbba,3,1.0,9,1.0,152.585
20,acbba,4,1.0,10,1.0,176.89
20,acbba,5,1.0,10,1.0,166.893
20,acbba,6,1.0,9,1.0,157.378
20,acbba,7,0.7,9,0.0,148.761
20,acbba,8,0.75,10,0.0,164.738
20,acbba,9,0.85,6,0.0,107.681
20,acbba,10,1.0,14,1.0,241.618
20,acbba,11,0.8,8,0.0,137.326
20,acbba,12,0.9,9,0.0,143.911
20,acbba,13,1.0,9,1.0,152.624
20,acbba,14,1.0,10,1.0,173.947
20,acbba,15,1.0,10,1.0,172.937
20,acbba,16,1.0,11,1.0,180.833
20,acbba,17,1.0,9,1.0,149.471
20,acbba,18,1.0,10,1.0,163.55
20,acbba,19,0.75,5,0.0,86.149
20,acbba,20,0.75,5,0.0,85.675
20,acbba,21,1.0,13,1.0,208.852
20,acbba,22,1.0,10,1.0,176.315
20,acbba,23,1.0,14,1.0,254.599
